"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.219929583E-1,5.942642212E-2,-4.415817261E-2,9.787995758E0,9.788275763E0
6.320539583E-1,6.765930176E-2,-4.640350342E-2,9.808503113E0,9.808846231E0
6.421149583E-1,6.032455444E-2,-3.412902832E-2,9.788893890E0,9.789139259E0
6.521749583E-1,3.861968994E-2,-4.056564331E-2,9.778265991E0,9.778426399E0
6.622359583E-1,6.152206421E-2,-4.790039063E-2,9.762249298E0,9.762560667E0
6.722969583E-1,7.664062500E-2,-6.601272583E-2,9.779463501E0,9.779986597E0
6.823579583E-1,6.646179199E-2,-5.972579956E-2,9.808652802E0,9.809059798E0
6.924189583E-1,7.694000244E-2,-4.864883423E-2,9.799222412E0,9.799645216E0
7.024789583E-1,7.214996338E-2,-6.197113037E-2,9.787995758E0,9.788457846E0
7.125399583E-1,6.242019653E-2,-4.011657715E-2,9.818981323E0,9.819261675E0
7.226009583E-1,7.574249268E-2,-4.894821167E-2,9.800270233E0,9.800685154E0
7.326619583E-1,5.523513794E-2,-3.996688843E-2,9.785151672E0,9.785389186E0
7.427229583E-1,8.217910767E-2,-4.580474854E-2,9.783205719E0,9.783658090E0
7.527829583E-1,8.083190918E-2,-4.834945679E-2,9.800270233E0,9.800722836E0
7.628439583E-1,5.972579956E-2,-4.071533203E-2,9.822573853E0,9.822839813E0
7.729047500E-1,4.939727783E-2,-4.700225830E-2,9.822723541E0,9.822960199E0
7.829657500E-1,5.777984619E-2,-4.625381470E-2,9.802216187E0,9.802495605E0
7.930267500E-1,-1.627116394E-1,-6.107299805E-1,9.777367859E0,9.797774667E0
8.030867500E-1,-1.924996948E-1,-7.840695190E-1,9.763746185E0,9.797068986E0
8.131477500E-1,6.277944946E-1,-5.568420410E-2,9.821376343E0,9.841578122E0
8.232087500E-1,3.566633148E0,2.502795410E-1,1.001402573E1,1.063316618E1
8.332697500E-1,2.848276978E0,-1.990859985E-2,9.906998291E0,1.030833125E1
8.433307500E-1,2.029629364E0,-3.659889221E-1,9.755064240E0,9.970688119E0
8.533907500E-1,2.230511627E0,-4.218228149E-1,9.860445099E0,1.011837409E1
8.634517500E-1,3.436703339E0,-2.860551453E-1,9.908345490E0,1.049133298E1
8.735127500E-1,4.167633362E0,-1.956431580E-1,9.844428406E0,1.069206316E1
8.835737500E-1,4.609963531E0,-6.765930176E-2,9.867031403E0,1.089103532E1
8.936347500E-1,5.697751465E0,2.998265076E-1,9.818831635E0,1.135621955E1
9.036947500E-1,4.944368134E0,-3.727249146E-2,9.608069916E0,1.080570095E1
9.137557500E-1,4.145928497E0,-1.606159973E-1,9.624535675E0,1.048075415E1
9.238167500E-1,4.184847565E0,-4.016148376E-1,9.640402679E0,1.051720531E1
9.338777500E-1,4.968617706E0,-5.366340637E-1,9.802814941E0,1.100319585E1
9.439387500E-1,5.538782043E0,-3.116519165E-1,9.922715607E0,1.136818009E1
9.539987500E-1,5.896089020E0,-2.929408264E-1,9.993218994E0,1.160664060E1
9.640597500E-1,5.407205658E0,1.496887207E-2,9.686057739E0,1.109314255E1
9.741207500E-1,5.100493469E0,-8.337661743E-2,9.800419922E0,1.104853909E1
9.841817500E-1,4.527185669E0,-3.619473267E-1,9.813592529E0,1.081355697E1
9.942427500E-1,4.473746796E0,-1.092727661E-1,9.742640076E0,1.072125863E1
1.004302750E0,4.746928711E0,-3.752696228E-1,9.895921326E0,1.098195877E1
1.014363750E0,5.036426697E0,-3.947291565E-1,9.889634399E0,1.110523631E1
1.024424750E0,5.657634888E0,5.673202515E-2,9.937085724E0,1.143493436E1
1.034485750E0,5.567671967E0,-9.205856323E-2,9.953551483E0,1.140528970E1
1.044546750E0,2.363884277E0,-3.930825806E-1,9.632618866E0,9.926218263E0
1.054606750E0,2.812651062E0,-1.930984497E-1,9.507928162E0,9.917105976E0
1.064667750E0,5.456303558E0,5.837860107E-2,9.857900391E0,1.126733583E1
1.074728750E0,4.308640137E0,-5.507048035E-1,1.016326538E1,1.105258426E1
1.084789750E0,6.631509705E0,2.802172852E-1,9.991572418E0,1.199528916E1
1.094850750E0,6.075416107E0,-2.725831604E-1,1.020832169E1,1.188254241E1
1.104910750E0,5.064418488E0,3.620970154E-1,9.753267975E0,1.099571212E1
1.114971750E0,2.756966858E0,-1.326242065E-1,9.539213104E0,9.930510666E0
1.125032750E0,3.666774902E0,6.195616150E-1,9.596693573E0,1.029201741E1
1.135093750E0,4.623585205E0,8.449928284E-1,9.996661835E0,1.104648364E1
1.145154750E0,3.178340607E0,1.076261902E-1,9.793833618E0,1.029721367E1
1.155214750E0,2.328108673E0,-2.559677124E-2,9.669591980E0,9.945941597E0
1.165275750E0,8.918453979E-1,-3.635939026E-1,9.664801941E0,9.712671378E0
1.175336750E0,7.424560547E-1,-8.189469910E-1,9.941875763E0,1.000313995E1
1.185397750E0,7.385641479E-1,4.881349182E-1,9.674232330E0,9.714655109E0
1.195458750E0,1.286724243E0,1.204245758E0,9.939780121E0,1.009480540E1
1.205518750E0,2.204615479E0,-6.565347290E-1,9.988878021E0,1.025031957E1
1.215579750E0,1.028660889E0,-2.027833099E0,1.040396484E1,1.064954153E1
1.225640750E0,-2.071691895E-1,-1.106199646E-1,9.518256683E0,9.521153614E0
1.235701750E0,-2.444716187E0,5.996530151E-1,9.049132233E0,9.392710745E0
1.245762750E0,-2.059866486E0,-2.856060791E-1,1.038959473E1,1.059567361E1
1.255823750E0,-1.510808258E0,4.778063965E-1,9.645941162E0,9.775224880E0
1.265883750E0,-1.695075073E0,-1.062340851E0,9.974807281E0,1.017342754E1
1.275944750E0,-2.383942566E0,2.835104370E-1,9.750274200E0,1.004148432E1
1.286005750E0,-2.266287231E0,-8.451425171E-1,9.976753235E0,1.026576489E1
1.296066750E0,-2.528242493E0,-6.942562866E-1,9.822124786E0,1.016602859E1
1.306127750E0,-3.020419006E0,-1.667232971E0,9.920470276E0,1.050325317E1
1.316187750E0,-2.574346619E0,-8.870553589E-1,1.003513184E1,1.039798051E1
1.326248750E0,-3.041076050E0,9.684860229E-2,9.536518707E0,1.001013048E1
1.336309750E0,-2.340682526E0,-1.255888367E-1,9.882000275E0,1.015620484E1
1.346370750E0,-2.787203979E0,4.584965515E-1,9.921518097E0,1.031577658E1
1.356431750E0,-2.894530792E0,2.330653381E-1,1.002869522E1,1.044065878E1
1.366491750E0,-3.535497894E0,1.628613281E-1,9.906249847E0,1.051950832E1
1.376552750E0,-4.821922760E0,-2.362088013E-1,9.754016418E0,1.088336207E1
1.386613750E0,-5.184768219E0,-2.350112915E-2,9.983489227E0,1.124955248E1
1.396674750E0,-4.543801117E0,1.796264648E-3,9.828411713E0,1.082791802E1
