"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.012082083E-1,-3.594937619E-2,1.098494478E-2,-5.489950776E-3,3.798902762E-2
6.112702083E-1,-1.089875316E-2,-2.025954243E-2,4.687712789E-3,2.347778804E-2
6.213322083E-1,7.185807768E-3,-1.967299361E-2,7.381525040E-3,2.220696789E-2
6.313942083E-1,2.116385087E-2,-3.101505708E-2,1.007533729E-2,3.887614656E-2
6.414562083E-1,3.503391235E-2,-1.554279456E-2,7.828837037E-3,3.911833543E-2
6.515182083E-1,2.457206497E-2,7.026927955E-3,7.236514091E-3,2.656183784E-2
6.615802083E-1,2.540147424E-2,3.053635284E-3,4.847926497E-3,2.603962314E-2
6.716422083E-1,3.092416942E-2,-1.552002696E-2,8.000745177E-3,3.551320057E-2
6.817032083E-1,2.281027148E-2,-1.719909148E-2,1.473439872E-2,3.214373561E-2
6.917652083E-1,-4.886591211E-3,7.633357309E-4,9.039210677E-3,1.030382379E-2
7.018272083E-1,-2.463616507E-2,4.740867633E-3,4.096559286E-3,2.542042984E-2
7.118892083E-1,-4.218462769E-2,2.857835786E-2,-1.371756792E-2,5.276776498E-2
7.219512083E-1,-1.579077132E-2,1.654423987E-2,3.349285126E-3,2.311445528E-2
7.320139167E-1,2.620687338E-2,-2.047609041E-2,1.218325853E-2,3.541895367E-2
7.420759167E-1,3.710799283E-2,-4.561484193E-2,-4.877747297E-3,5.900431641E-2
7.521379167E-1,5.557344505E-2,-5.622693535E-2,1.188680470E-2,7.994480708E-2
7.621999167E-1,-1.013443620E-1,1.889393800E-1,-5.777633786E-3,2.144811182E-1
7.722619167E-1,-1.240740150E-1,1.869257086E-1,-3.830510974E-3,2.243886239E-1
7.823239167E-1,-3.159844475E-3,-6.411634589E-2,9.342096448E-3,6.487037223E-2
7.923859167E-1,9.566391072E-2,-2.347956206E-1,2.041964650E-2,2.543570900E-1
8.024479167E-1,1.023243462E-1,-1.529281878E-1,9.346189499E-3,1.842407493E-1
8.125099167E-1,-6.986901937E-3,7.460681722E-2,7.251132131E-3,7.528328427E-2
8.225719167E-1,-4.254063176E-2,1.925568696E-1,-1.401109815E-2,1.976971529E-1
8.326339167E-1,-1.928806409E-2,1.318334620E-1,4.695898890E-3,1.333197007E-1
8.426959167E-1,3.044138127E-2,-3.775940007E-2,9.512835145E-3,4.942614712E-2
8.527579167E-1,5.966114215E-2,-1.651010675E-1,7.297325134E-3,1.757016373E-1
8.628199167E-1,7.859580601E-3,-1.042643884E-1,1.925605059E-2,1.063185364E-1
8.728819167E-1,-4.373963074E-2,3.837014174E-2,-2.637678981E-3,5.824414498E-2
8.829429167E-1,-6.972388965E-2,1.368431005E-1,-5.196420550E-3,1.536699637E-1
8.930049167E-1,-2.101061728E-2,9.047120864E-2,1.254227757E-3,9.288734423E-2
9.030669167E-1,4.106733441E-2,-2.543367047E-2,-2.906650901E-3,4.839262515E-2
9.131289167E-1,8.074151488E-2,-1.145647886E-1,1.162894249E-2,1.406396648E-1
9.231909167E-1,5.725310342E-2,-7.181665381E-2,9.081895351E-3,9.229317656E-2
9.332529167E-1,1.693679818E-2,2.119387267E-2,8.615287542E-3,2.846504085E-2
9.433149167E-1,-2.749591948E-2,9.096580999E-2,-3.676729202E-3,9.510164306E-2
9.533769167E-1,-3.968736411E-2,5.652848722E-2,1.024549127E-2,6.982497282E-2
9.634389167E-1,-1.752276228E-2,-2.996297853E-2,4.871315360E-3,3.505077736E-2
9.735009167E-1,1.208162662E-2,-7.874352129E-2,-6.638928652E-3,7.994112346E-2
9.835629167E-1,1.893566885E-2,-6.244230632E-2,1.356904864E-2,6.664623211E-2
9.936249167E-1,-2.038549511E-2,2.334829755E-2,8.014193773E-3,3.201466400E-2
1.003686917E0,-1.956091893E-2,5.678426636E-2,5.313949585E-3,6.029361920E-2
1.013748917E0,-3.304051431E-3,4.840595551E-2,-6.505027413E-3,4.895271868E-2
1.023810917E0,-3.047413481E-3,-7.333815414E-3,-4.542117119E-3,9.148901868E-3
1.033872917E0,3.478355102E-2,-5.962533709E-2,-2.583884597E-3,6.907787420E-2
1.043934917E0,2.082355206E-2,-5.062133761E-2,8.936299682E-3,5.546167680E-2
1.053996917E0,-9.480520142E-3,2.610105705E-3,1.731009722E-2,1.990809834E-2
1.064058917E0,-2.769955790E-2,6.001395766E-2,1.191311717E-2,6.716295841E-2
1.074120917E0,-4.384639724E-2,5.506224308E-2,-5.450189710E-3,7.059788759E-2
1.084182917E0,1.203180651E-2,-1.538420711E-3,-8.004838228E-4,1.215614579E-2
1.094244917E0,3.455682524E-2,-6.500287514E-2,-7.825913429E-3,7.403237716E-2
1.104305917E0,3.477091555E-2,-5.330868138E-2,7.592609525E-3,6.409742427E-2
1.114367917E0,2.040069787E-2,2.420966551E-3,2.091081262E-2,2.931401775E-2
1.124429917E0,1.844878765E-3,5.022261232E-2,1.341643631E-2,5.201648901E-2
1.134491917E0,-1.923799731E-2,2.960562229E-2,1.592781544E-3,3.534303842E-2
1.144553917E0,-1.699914412E-2,-1.730033968E-2,2.348241806E-3,2.436774288E-2
1.154615917E0,1.784377442E-2,-6.435960833E-2,2.801985741E-3,6.684617112E-2
1.164677917E0,1.100819659E-2,-2.800549518E-2,1.552552700E-2,3.386045099E-2
1.174739917E0,-1.153033468E-2,4.367241517E-2,1.177804649E-2,4.667923354E-2
1.184801917E0,-2.511406532E-2,5.661420375E-2,7.433565259E-3,6.237902080E-2
1.194863917E0,-1.340252177E-2,1.452382587E-2,1.327493370E-2,2.380741423E-2
1.204925917E0,1.775081282E-2,-3.997827223E-2,7.445259690E-3,4.437099839E-2
1.214987917E0,4.224933992E-2,-6.072545417E-2,2.196798921E-2,7.716981312E-2
1.225049917E0,1.124658027E-2,-1.577719482E-2,1.343105435E-2,2.357538261E-2
1.235111917E0,-1.896368067E-2,3.052115008E-2,1.117285967E-2,3.762970343E-2
1.245173917E0,-2.817335595E-2,4.052173438E-2,4.584801793E-3,4.956580828E-2
1.255235917E0,-1.986787948E-2,2.429728238E-2,5.934923887E-3,3.194235257E-2
1.265297917E0,3.765515517E-4,-4.088610727E-3,-1.052732706E-2,1.129969662E-2
1.275359917E0,6.136488374E-3,-1.595116775E-2,3.273271322E-2,3.692596319E-2
1.285421917E0,4.959480409E-3,-3.226950411E-3,1.342169881E-2,1.466804874E-2
1.295483917E0,1.575274615E-2,1.518351970E-2,-9.333325624E-3,2.378653503E-2
1.305544917E0,2.581614233E-2,1.482908707E-2,8.449226618E-4,2.978403805E-2
1.315606917E0,3.402832830E-2,-8.339956775E-3,2.497930527E-3,3.512437420E-2
1.325668917E0,1.451746702E-2,-1.741534710E-2,1.328019619E-2,2.627574498E-2
1.335730917E0,-1.369779702E-2,-5.323232040E-3,1.454787254E-3,1.476762840E-2
1.345792917E0,-3.305879599E-2,1.360254223E-2,-9.408169985E-4,3.576028921E-2
1.355854917E0,-4.974388068E-2,1.705112038E-2,1.043435633E-2,5.361035500E-2
1.365916917E0,-1.709179508E-2,8.298386727E-3,2.202646136E-3,1.912705757E-2
1.375978917E0,-1.976257478E-2,-3.031543773E-3,1.223471403E-2,2.344009059E-2
1.386040917E0,-1.413825681E-2,3.738143239E-3,4.003588557E-3,1.516221428E-2
1.396102917E0,1.944361830E-2,-2.363583438E-2,-4.228121638E-3,3.089634237E-2
1.406164917E0,2.546365572E-2,-2.473215077E-2,4.455578327E-3,3.577609848E-2
1.416226917E0,3.901500740E-2,-1.390171867E-2,1.583192110E-2,4.434048162E-2
1.426288917E0,1.766045507E-2,6.490939278E-3,-2.579791546E-3,1.899155840E-2
1.436350917E0,-1.755451997E-2,4.597013338E-2,-1.682828665E-3,4.923663520E-2
1.446412917E0,-3.153447255E-2,3.822556933E-2,1.493612766E-2,5.175620755E-2
1.456474917E0,-3.797664240E-2,-9.027680699E-3,2.963368893E-3,3.914723415E-2
1.466536917E0,8.793115988E-4,-1.237946916E-2,-1.350531399E-2,1.834169980E-2
