"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.134833329E-3,2.671668206E-3,-2.089867964E-3,-6.232547164E-3,7.095773620E-3
1.319683333E-2,2.440751610E-2,1.030882392E-2,7.240022421E-3,2.746664554E-2
2.325883333E-2,-1.054684671E-3,1.116251741E-2,1.187861860E-2,1.633449523E-2
3.332083333E-2,4.038660431E-3,1.475398690E-3,-6.540110707E-3,7.826916854E-3
4.338283333E-2,1.466326369E-2,6.940845978E-3,-1.867659152E-2,2.473866843E-2
5.344483332E-2,1.179399842E-2,7.397604883E-3,8.706504107E-3,1.642029752E-2
6.350683332E-2,7.484228185E-3,3.673586324E-3,7.496715188E-3,1.121203133E-2
7.356883332E-2,-1.513192031E-2,4.140724037E-3,-3.113349974E-2,3.486280846E-2
8.362983333E-2,-1.871081600E-3,-8.920439109E-3,-9.074878693E-4,9.159624146E-3
9.369183333E-2,3.187901974E-3,2.095441092E-3,-1.932563245E-2,1.969857005E-2
1.037538333E-1,6.620564740E-3,2.556932587E-3,-1.139271498E-2,1.342250857E-2
1.138158333E-1,-9.623329248E-4,-5.942598358E-4,2.379115105E-2,2.381802044E-2
1.238778333E-1,2.663169187E-3,-1.316911737E-2,3.996338010E-2,4.216147378E-2
1.339398333E-1,-2.820504969E-4,-1.981438659E-3,-5.085908175E-3,5.465538729E-3
1.440018333E-1,1.361195716E-2,3.963955399E-3,1.482795417E-2,2.051503217E-2
1.540638333E-1,1.112502214E-2,1.334181122E-2,4.237243295E-2,4.579512112E-2
1.641258333E-1,8.831607113E-3,-6.339880116E-3,1.871401370E-2,2.164268174E-2
1.741868333E-1,1.854248471E-2,-7.166950498E-3,2.680305183E-2,3.337053350E-2
1.842488333E-1,-3.406573221E-2,1.658416539E-2,-6.943919420E-2,7.910316267E-2
1.943108333E-1,-3.361783549E-4,-9.613005258E-4,2.906767845E-2,2.908551263E-2
2.043728333E-1,-3.440745628E-2,6.568981335E-5,-1.251947343E-2,3.661440397E-2
2.144348333E-1,-1.216988303E-2,1.233150372E-2,-1.561849773E-2,2.332615503E-2
2.244968333E-1,-3.402841967E-3,9.290988129E-3,8.675513864E-3,1.315926801E-2
2.345588333E-1,5.919842639E-2,-1.049217068E-2,6.345339954E-2,8.741208867E-2
2.446208333E-1,1.189762479E-1,-1.470388357E-2,1.097791350E-1,1.625515618E-1
2.546828333E-1,3.029716883E-1,-8.024970923E-2,3.134698159E-1,4.432777743E-1
2.647438333E-1,2.788004134E-1,-8.184919680E-2,9.092613298E-1,9.545601748E-1
2.748058333E-1,-8.868911983E-1,2.458300657E-1,-2.356248398E0,2.529607664E0
2.848678333E-1,5.884891821E-1,-1.643857521E-1,1.431711218E0,1.556643570E0
2.949298333E-1,-1.462174617E-2,-2.118782446E-2,-9.577563822E-2,9.917505858E-2
3.049918333E-1,-2.144221306E-1,5.775927130E-2,-4.766860700E-1,5.258731718E-1
3.150538333E-1,2.701756059E-1,-8.948907740E-2,6.949035734E-1,7.509288444E-1
3.251158333E-1,-1.585739303E-1,5.512095278E-2,-4.458560407E-1,4.764153858E-1
3.351778333E-1,5.720963303E-2,-1.503861839E-2,1.320815849E-1,1.447226563E-1
3.452398333E-1,1.872373698E-2,7.849247474E-3,3.867114544E-2,4.367661276E-2
3.553018333E-1,2.490533342E-2,4.823733643E-3,6.787447929E-3,2.626049292E-2
3.653628333E-1,6.924565136E-3,8.389055114E-3,9.332740903E-3,1.433268645E-2
3.754248333E-1,2.002111307E-2,-2.059594005E-2,-4.589479566E-3,2.908781597E-2
3.854868333E-1,1.358746966E-2,-1.803897092E-2,3.344022632E-3,2.282994286E-2
