"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.090274167E-1,1.029549775E-1,-2.376382993E0,-9.891442358E-2,2.380667957E0
6.190884167E-1,6.211027218E-1,-2.327010712E0,2.570593876E-1,2.422153375E0
6.291494167E-1,5.112240379E-1,-2.147315689E0,-7.692304552E-2,2.208671963E0
6.392114167E-1,5.347321472E-1,-2.159445153E0,5.000889659E-2,2.225228691E0
6.492724167E-1,7.358788142E-1,-1.877239814E0,5.493225217E-2,2.017068294E0
6.593334167E-1,9.705044818E-1,-1.964073160E0,6.466728151E-2,2.191721739E0
6.693944167E-1,9.307156411E-1,-2.035779027E0,2.973893881E-3,2.238445151E0
6.794554167E-1,6.121223852E-1,-2.005751382E0,8.620491564E-2,2.098848186E0
6.895174167E-1,6.386108934E-1,-1.946120600E0,-1.108398199E-2,2.048250989E0
6.995784167E-1,9.564835165E-1,-1.667249343E0,1.062146723E-2,1.922158658E0
7.096394167E-1,1.300936924E0,-1.397193057E0,3.558440030E-2,1.909411315E0
7.197004167E-1,1.534871158E0,-1.489409203E0,9.665564418E-2,2.140913721E0
7.297614167E-1,1.639015186E0,-1.270891445E0,8.338714242E-3,2.074031190E0
7.398234167E-1,1.747405753E0,-1.055176111E0,-1.574128926E-2,2.041340559E0
7.498844167E-1,1.721768344E0,-1.137226873E0,3.336772084E-2,2.063706518E0
7.599454167E-1,1.611381829E0,-8.793249013E-1,2.394376338E-2,1.835847756E0
7.700064167E-1,1.606363310E0,-5.640643025E-1,8.401279449E-3,1.702539927E0
7.800674167E-1,1.522682345E0,-4.982963558E-1,5.121225357E-2,1.602960847E0
7.901294167E-1,1.021918830E0,-5.667349452E-1,-1.825266838E-2,1.168691470E0
8.001904167E-1,9.307847844E-1,-1.971812132E-1,5.119237304E-2,9.528176136E-1
8.102514167E-1,9.442353538E-1,5.046784820E-2,-4.312555432E-2,9.465660149E-1
8.203124167E-1,1.099400869E0,-1.809192477E-2,8.209490776E-3,1.099580367E0
8.303734167E-1,1.335221635E0,-1.557312151E-1,4.520073116E-2,1.345032390E0
8.404354167E-1,1.397749566E0,-1.991175918E-1,-1.722414315E-2,1.411966124E0
8.504964167E-1,1.391337363E0,-4.855566250E-2,-3.534407973E-2,1.392632943E0
8.605574167E-1,1.299339026E0,6.891086172E-2,3.962365687E-2,1.301768277E0
8.706184167E-1,1.164417449E0,3.420952255E-1,-5.244777024E-2,1.214762490E0
8.806794167E-1,1.278989985E0,6.056654146E-1,7.899588346E-2,1.417351871E0
8.907404167E-1,1.046206336E0,5.692320717E-1,-1.034430921E-2,1.191083479E0
9.008026250E-1,7.943917550E-1,6.916661163E-1,-5.122511744E-2,1.054554071E0
