"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.367702500E-1,2.782713318E0,2.086810455E0,9.587861938E0,1.019928271E1
7.468312500E-1,2.445913696E0,2.474055176E0,1.009560608E1,1.067823510E1
7.568912500E-1,2.290985870E0,2.597698059E0,9.478738861E0,1.009173632E1
7.669522500E-1,2.113155670E0,1.908082123E0,9.798324280E0,1.020359559E1
7.770132500E-1,2.918331299E0,2.321672058E0,9.965825958E0,1.064070043E1
7.870732500E-1,2.906356201E0,1.559307404E0,9.975705414E0,1.050680943E1
7.971342500E-1,2.821482697E0,1.632654877E0,9.587712250E0,1.012672468E1
8.071952500E-1,3.031945038E0,1.439406738E0,9.896220703E0,1.044986922E1
8.172562500E-1,2.833008728E0,1.129551086E0,9.792037354E0,1.025601383E1
8.273162500E-1,2.211650848E0,1.126557312E0,9.790390778E0,1.010011299E1
8.373772500E-1,2.006876678E0,1.100212097E0,9.946815491E0,1.020672127E1
8.474382500E-1,2.354304199E0,8.662486267E-1,9.684560852E0,1.000419181E1
8.574992500E-1,1.779948578E0,4.974156189E-1,9.754914551E0,9.928443842E0
8.675592500E-1,1.000070343E0,9.295669556E-1,9.792785797E0,9.887511774E0
8.776202500E-1,2.644999695E-1,8.562194824E-1,1.008378067E1,1.012352234E1
8.876812500E-1,-3.727249146E-2,7.011419678E-1,9.788744202E0,9.813893333E0
8.977422500E-1,-2.320175171E-1,-2.784210205E-2,9.779164124E0,9.781955749E0
9.078022500E-1,8.283773804E-1,3.201841736E-1,9.830806732E0,9.870840288E0
9.178632500E-1,9.313632202E-1,-1.886077881E-2,1.014769775E1,1.019036618E1
9.279242500E-1,6.737489319E-1,-2.377056885E-1,9.355994110E0,9.383233313E0
9.379852500E-1,1.142124939E-1,2.140548706E-2,9.958341522E0,9.959019458E0
9.480452500E-1,-6.002517700E-1,1.743873596E-1,9.769883423E0,9.789858795E0
