Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.7568912500,2.2909858700,2.5976980590,-0.3312611390,10.0917363200
0.7669522500,2.1131556700,1.9080821230,-0.0116757200,10.2035955900
0.7770132500,2.9183312990,2.3216720580,0.1558259580,10.6407004300
0.7870732500,2.9063562010,1.5593074040,0.1657054140,10.5068094300
0.7971342500,2.8214826970,1.6326548770,-0.2222877500,10.1267246800
0.8071952500,3.0319450380,1.4394067380,0.0862207030,10.4498692200
0.8172562500,2.8330087280,1.1295510860,-0.0179626460,10.2560138300
0.8273162500,2.2116508480,1.1265573120,-0.0196092220,10.1001129900
0.8373772500,2.0068766780,1.1002120970,0.1368154910,10.2067212700
0.8474382500,2.3543041990,0.8662486267,-0.1254391480,10.0041918100
0.8574992500,1.7799485780,0.4974156189,-0.0550854490,9.9284438420
0.8675592500,1.0000703430,0.9295669556,-0.0172142030,9.8875117740
0.8776202500,0.2644999695,0.8562194824,0.2737806700,10.1235223400
0.8876812500,-0.0372724915,0.7011419678,-0.0212557980,9.8138933330
0.8977422500,-0.2320175171,-0.0278421021,-0.0308358760,9.7819557490
0.9078022500,0.8283773804,0.3201841736,0.0208067320,9.8708402880
0.9178632500,0.9313632202,-0.0188607788,0.3376977500,10.1903661800
0.9279242500,0.6737489319,-0.2377056885,-0.4540058900,9.3832333130
0.9379852500,0.1142124939,0.0214054871,0.1483415220,9.9590194580
0.9480452500,-0.6002517700,0.1743873596,-0.0401165770,9.7898587950
0.9581062500,-0.9475296021,-0.2716850281,-0.2392025760,9.6214234100
0.9681672500,-0.5056484985,-0.1803749084,0.0664617920,9.8910420600
0.9782282500,0.2441423035,0.0255967712,0.3005749500,10.1135545900
0.9882882500,0.6483018494,-0.0238005066,-0.0089813230,9.8224655180
0.9983492500,0.2538720703,-0.3266207886,0.3897894300,10.2081749900
1.0084102500,-0.1660047913,-0.0459544373,-0.2975811770,9.5139782040
1.0184712500,-0.7768844604,0.1405577087,-0.0184117130,9.8233653660
1.0285312500,-1.0370434570,0.4610412598,0.1047821040,9.9795251570
1.0385922500,-0.3094065857,0.5031037903,0.1185534670,9.9461057610
1.0486532500,0.4381388855,0.5176235962,0.0332308960,9.8665644650
1.0587142500,0.1185534668,0.3761677551,0.1535806270,9.9713838570
1.0687742500,-0.4093986511,-0.1972897339,-0.0678089900,9.7527850460
1.0788352500,-1.4766792300,-1.0153385930,0.0916094970,10.0624730900
1.0888962500,-2.2296134950,-1.4060261540,-0.0496966550,10.1099756300
1.0989572500,-2.8306137080,-1.5022760010,-0.1778302000,10.1512512600
1.1090172500,-3.3500335690,-1.0419831850,0.2071691900,10.6137708900
1.1190782500,-2.7400520320,-0.8201445007,-0.0559835820,10.1647114300
1.1291392500,-2.2528152470,-1.1856843570,0.0838256840,10.2161054500
1.1391992500,-1.8010546880,-1.2247531130,-0.1237925720,9.9280628780
