"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.538958329E-3,-3.070703672E-2,6.424416237E-2,1.202889204E-2,7.221446355E-2
1.560095833E-2,-5.747830345E-2,9.137019977E-2,1.186926305E-2,1.085962623E-1
2.566295833E-2,-6.717682424E-2,8.082534020E-2,-1.687564909E-2,1.064436417E-1
3.572495833E-2,-5.514469796E-2,6.614786047E-2,-3.227896929E-2,9.196960919E-2
4.578695833E-2,-3.886066832E-2,5.992086816E-2,4.151873946E-2,8.261033658E-2
5.584895833E-2,-4.747031878E-2,7.348792509E-2,1.487063885E-2,8.874143451E-2
6.591095832E-2,-3.127671998E-2,7.822283587E-2,-1.042558551E-2,8.488661908E-2
7.597295832E-2,-2.553797931E-2,6.171684044E-2,1.382924974E-2,6.820854001E-2
8.603595833E-2,-1.110277531E-2,6.033486016E-2,6.942399144E-3,6.173948393E-2
9.609795833E-2,-3.558544183E-2,4.994439449E-2,-6.928950548E-4,6.132900060E-2
1.061599583E-1,-4.372996456E-2,6.947822437E-2,4.994106889E-3,8.224642585E-2
1.162219583E-1,-3.534669271E-2,6.824935891E-2,-2.338886261E-3,7.689495475E-2
1.262839583E-1,-4.593116716E-2,7.830519025E-2,-2.939395308E-3,9.082959310E-2
1.363459583E-1,-4.497222380E-2,8.209964949E-2,3.946285844E-3,9.369325766E-2
1.464079583E-1,-4.248405995E-2,6.737612293E-2,5.057841539E-4,7.965358189E-2
1.564699583E-1,-5.071679341E-2,6.037138699E-2,1.857075691E-3,7.886917161E-2
1.665319583E-1,-2.395558571E-2,6.361224281E-2,2.266848564E-2,7.165366538E-2
1.765939583E-1,-1.531806962E-2,7.662876612E-2,-1.909700632E-2,8.044443240E-2
1.866559583E-1,-2.533003771E-2,7.726645066E-2,-3.876703978E-4,8.131337834E-2
1.967179583E-1,-1.885998395E-2,6.591876838E-2,7.696105242E-3,6.899429727E-2
2.067809583E-1,-3.963126739E-2,6.479502490E-2,2.101898611E-2,7.880882173E-2
2.168429583E-1,-3.336921006E-2,7.065852139E-2,9.345020056E-3,7.869854017E-2
2.269049583E-1,-3.407850472E-2,6.180946399E-2,1.518697321E-2,7.219694231E-2
2.369669583E-1,-4.863935991E-2,6.785892022E-2,-2.480388880E-3,8.352707773E-2
2.470284583E-1,-2.805856780E-2,7.013485755E-2,1.189732969E-2,7.647043824E-2
2.570904583E-1,-1.478648462E-2,6.735317261E-2,-7.852810621E-3,6.940285745E-2
2.671524583E-1,-1.672947784E-2,6.259386797E-2,-3.058678508E-3,6.486311164E-2
2.772144583E-1,-2.480594446E-2,5.970030022E-2,3.834019303E-3,6.476233806E-2
2.872764583E-1,-3.030513201E-2,7.570093176E-2,7.428887486E-3,8.187930425E-2
2.973384583E-1,-3.034581584E-2,5.907193467E-2,-4.989429116E-3,6.659772074E-2
3.074004583E-1,-4.285944206E-2,6.507162561E-2,1.746563315E-3,7.793778747E-2
3.174624583E-1,-4.413524056E-2,7.281054343E-2,7.736451030E-3,8.549355162E-2
3.275254583E-1,-5.519419829E-2,5.147550618E-2,1.328078091E-2,7.663228043E-2
3.375874583E-1,-3.241181072E-2,5.184611002E-2,5.353125930E-3,6.137752484E-2
3.476494583E-1,-2.647835777E-2,6.494702510E-2,4.611698985E-3,7.028859983E-2
3.577114583E-1,-1.623467549E-2,5.753932463E-2,1.404384255E-2,6.141309372E-2
3.677734583E-1,-1.228123594E-2,5.619800077E-2,-3.463305831E-3,5.762845247E-2
3.778354583E-1,-1.681862047E-2,5.488097026E-2,1.016187608E-2,5.829280073E-2
3.878974583E-1,-3.039316001E-2,5.090131874E-2,1.614708602E-2,6.144442051E-2
3.979594583E-1,-1.512134735E-2,6.671366994E-2,1.330241561E-3,6.841884569E-2
4.080214583E-1,-2.772435375E-2,6.613876074E-2,7.464555502E-3,7.210197675E-2
4.180834583E-1,-3.323573822E-2,6.418442027E-2,1.644763291E-2,7.412677471E-2
4.281464583E-1,-1.645083974E-2,4.337935089E-2,3.879042864E-3,4.655582870E-2
4.382084583E-1,-2.523636349E-2,4.624124318E-2,6.877495050E-3,5.312651458E-2
4.482704583E-1,-2.951073295E-2,4.327484105E-2,-1.048990488E-3,5.238984260E-2
