"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.128943333E-1,4.191284180E-2,-8.891510010E-2,9.783355408E0,9.783849223E0
7.229583333E-1,5.194198608E-2,-8.173004150E-2,9.796827393E0,9.797305993E0
7.330223333E-1,6.092330933E-2,-9.624984741E-2,9.792785797E0,9.793448287E0
7.430873333E-1,6.915618896E-2,-9.595046997E-2,9.759704590E0,9.760421238E0
7.531513333E-1,8.427474976E-2,-8.592132568E-2,9.777816925E0,9.778557589E0
7.632153333E-1,7.155120850E-2,-9.415420532E-2,9.794881439E0,9.795595286E0
7.732803333E-1,5.538482666E-2,-1.025367737E-1,9.776619415E0,9.777313970E0
7.833443333E-1,6.316864014E-2,-1.005908203E-1,9.785750427E0,9.786471285E0
7.934083333E-1,6.780899048E-2,-9.445358276E-2,9.799970856E0,9.800660606E0
8.034723333E-1,7.813751221E-2,-8.906478882E-2,9.792336731E0,9.793053490E0
8.135373333E-1,7.738906860E-2,-9.400451660E-2,9.794282684E0,9.795039521E0
8.236013333E-1,7.364685059E-2,-9.280700684E-2,9.769584045E0,9.770302422E0
8.336653333E-1,8.113128662E-2,-7.095245361E-2,9.775122528E0,9.775716699E0
8.437303333E-1,8.936416626E-2,-6.301895142E-2,9.771679688E0,9.772291505E0
8.537943333E-1,6.182144165E-2,-7.095245361E-2,9.780810699E0,9.781263419E0
8.638583333E-1,5.328918457E-2,-6.945556641E-2,9.771979065E0,9.772371189E0
8.739223333E-1,6.122268677E-2,-6.975494385E-2,9.786947937E0,9.787388001E0
8.839873333E-1,6.721023560E-2,-9.325607300E-2,9.801168365E0,9.801842441E0
8.940513333E-1,4.790039063E-2,-8.247848511E-2,9.777517548E0,9.777982744E0
9.041153333E-1,6.421646118E-2,-7.409591675E-2,9.771230621E0,9.771722561E0
9.141803333E-1,3.772155762E-2,-8.457412720E-2,9.778864746E0,9.779303218E0
9.242430833E-1,6.346801758E-2,-9.355545044E-2,9.784403229E0,9.785056329E0
9.343070833E-1,8.322692871E-2,-8.083190918E-2,9.776170349E0,9.776858760E0
9.443720833E-1,7.319778442E-2,-9.445358276E-2,9.782008209E0,9.782738063E0
9.544360833E-1,4.535568237E-2,-9.624984741E-2,9.775721283E0,9.776300311E0
9.645000833E-1,7.559280396E-2,-8.502319336E-2,9.798773346E0,9.799433774E0
9.745640833E-1,7.065307617E-2,-8.607101440E-2,9.791438599E0,9.792071788E0
9.846290833E-1,7.753875732E-2,-8.592132568E-2,9.787696381E0,9.788380621E0
9.946930833E-1,7.978408813E-2,-6.451583862E-2,9.785750427E0,9.786288327E0
1.004757083E0,8.202941895E-2,-8.352630615E-2,9.766440582E0,9.767142219E0
1.014822083E0,7.574249268E-2,-7.708969116E-2,9.768835602E0,9.769433390E0
1.024886083E0,7.424560547E-2,-7.634124756E-2,9.778565369E0,9.779145211E0
1.034950083E0,6.047424316E-2,-8.502319336E-2,9.784103851E0,9.784660150E0
1.045014083E0,7.035369873E-2,-7.888595581E-2,9.774972839E0,9.775544315E0
1.055079083E0,5.703140259E-2,-7.244934082E-2,9.781858521E0,9.782293065E0
1.065143083E0,4.715194702E-2,-9.295669556E-2,9.798923035E0,9.799477379E0
1.075207083E0,4.685256958E-2,-8.771759033E-2,9.788444824E0,9.788949975E0
1.085272083E0,6.137237549E-2,-8.023315430E-2,9.792935486E0,9.793456456E0
1.095336083E0,6.511459351E-2,-8.487350464E-2,9.768536224E0,9.769121935E0
1.105400083E0,6.167175293E-2,-1.074765015E-1,9.775421906E0,9.776207242E0
1.115465083E0,4.221221924E-2,-1.082249451E-1,9.807455292E0,9.808143240E0
