"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.560233333E-2,-3.755908725E-3,1.036749708E-2,-9.960731864E-3,1.485961053E-2
3.566333331E-2,-1.291772364E-2,-3.072090559E-3,9.797594547E-3,1.650146003E-2
4.572533333E-2,-1.032081528E-3,7.755984385E-3,4.407631159E-3,8.980406365E-3
5.578633334E-2,6.092042683E-3,8.978966083E-3,-7.421286106E-3,1.314573328E-2
6.584733332E-2,5.509765071E-3,-7.903772760E-3,1.742645681E-2,1.991252199E-2
7.590933333E-2,-5.697090675E-3,-9.161307849E-4,-6.974558830E-3,9.052105205E-3
8.597033331E-2,9.730429226E-4,3.817446101E-3,2.110844851E-4,3.945157022E-3
9.603233333E-2,-1.076118143E-2,1.392960258E-2,5.750736594E-3,1.851777052E-2
1.060933333E-1,-8.664187167E-3,1.036528610E-3,1.518463433E-2,1.751329925E-2
1.161553333E-1,-1.550841476E-2,-3.792796433E-3,6.054207087E-3,1.707482523E-2
1.262163333E-1,-5.819311186E-3,9.964733552E-3,1.713117242E-2,2.065520191E-2
1.362773333E-1,-1.856112043E-2,2.490018513E-3,-7.952213287E-5,1.872756544E-2
1.463393333E-1,-2.208543601E-2,-4.258965701E-4,2.117452204E-2,3.059915449E-2
1.564003333E-1,-1.425860439E-2,2.267093416E-3,-3.075050712E-3,1.476155305E-2
1.664623333E-1,3.047532253E-3,-5.709988810E-3,-9.659600258E-3,1.162752348E-2
1.765233333E-1,3.090296870E-3,4.007645063E-3,-1.249842346E-2,1.348412929E-2
1.865843333E-1,-6.430224166E-3,1.465540649E-2,8.160958886E-3,1.796468681E-2
1.966463333E-1,-1.368414286E-2,-8.997439630E-3,5.465392470E-3,1.726499929E-2
2.067073333E-1,-1.189408631E-2,3.842589129E-3,-2.467525005E-3,1.274062243E-2
2.167693333E-1,3.669799338E-3,1.339469198E-3,3.748065233E-4,3.924548999E-3
2.268303333E-1,1.278590547E-2,-2.821007464E-3,6.061223745E-3,1.442830188E-2
2.368913333E-1,-1.061901643E-2,-5.355135910E-3,-3.067449331E-3,1.228211040E-2
2.469533333E-1,-1.184436671E-2,-7.958882768E-3,-4.266713262E-3,1.489421631E-2
2.570143333E-1,-8.911254869E-3,5.284969322E-4,-1.574070454E-3,9.064627414E-3
2.670763333E-1,5.787265704E-3,3.440008331E-3,2.262872458E-4,6.736268074E-3
2.771373333E-1,-5.996838135E-3,3.000571802E-3,4.114685655E-3,7.867409790E-3
2.871983333E-1,-1.835292529E-3,9.521953147E-3,2.316666842E-3,9.970097073E-3
2.972603333E-1,8.761735170E-3,1.842494197E-3,-4.122287035E-3,9.856776271E-3
3.073213333E-1,2.592212996E-2,-2.505440544E-3,1.566469073E-3,2.608999577E-2
3.173833333E-1,4.576467227E-3,3.289186712E-3,1.054837704E-2,1.195955934E-2
3.274443333E-1,8.451186349E-3,5.210910682E-3,-3.827002645E-3,1.064058692E-2
3.375053333E-1,-8.156916085E-3,1.350999177E-3,2.306141853E-3,8.583633790E-3
3.475673333E-1,5.996664546E-3,-8.196827900E-3,-1.146288157E-2,1.531488254E-2
3.576283333E-1,1.385199906E-2,-3.248548564E-3,6.350076199E-3,1.558057809E-2
3.676903333E-1,2.178141049E-2,5.167677831E-3,1.262413859E-3,2.242160623E-2
3.777513333E-1,3.946084846E-3,4.945154730E-3,2.761055231E-3,6.902866572E-3
3.878123333E-1,4.684252425E-3,-3.757566959E-3,5.902764201E-3,8.420460524E-3
3.978743333E-1,-1.754055974E-2,6.225201599E-3,-2.628908157E-3,1.879722131E-2
4.079353333E-1,-3.862746034E-3,5.585351754E-3,2.132538021E-2,2.238054517E-2
4.179973333E-1,4.098507597E-3,1.112432778E-2,1.279546201E-2,1.744340222E-2
4.280583333E-1,7.645800915E-3,1.265883816E-2,-6.661148071E-3,1.621959768E-2
4.381193333E-1,-1.330141062E-3,8.432086967E-3,7.560449839E-3,1.140305957E-2
4.481813333E-1,1.181695103E-2,1.402193377E-2,1.699376285E-2,2.500085867E-2
4.582423333E-1,1.070049144E-2,1.295370229E-2,1.010866642E-2,1.960826501E-2
4.683043333E-1,1.682236177E-2,5.910603125E-3,-3.515930772E-3,1.817385083E-2
4.783653333E-1,2.735156177E-3,1.964554824E-3,8.908817768E-3,9.524053181E-3
4.884263333E-1,1.185146559E-2,1.800540425E-3,-3.063356280E-3,1.237268500E-2
4.984883333E-1,5.351746352E-3,1.014654541E-2,-1.009521782E-2,1.528093570E-2
5.085493333E-1,3.122063696E-3,-8.251554184E-3,-2.009688020E-3,9.048440424E-3
5.186113333E-1,-5.253147678E-3,-9.765288681E-3,1.610264719E-2,1.955125750E-2
5.286723333E-1,3.921638459E-3,-5.558947921E-3,1.056416452E-2,1.256513916E-2
5.387333333E-1,-7.462143525E-4,7.846597955E-3,-6.199218035E-3,1.002777341E-2
